original_timestamp,timestamp,killer_id,victim_id,weapon_id,killer,victim,weapon
1725503763.834902,2024-09-05 12:36:03.834902,2,0,1,Player_138.25.249.94,Player_138.25.249.93,MOD_SHOTGUN\n]\x08 \x08PlayerScore: 2 1: Player_138.25.249.94 now has 1 points\n]\x08 \x08Challenge: 2 203 1: Client 2 got award 203\n]\x08 \x08Challenge: 2 1 1: Client 2 got award 1\n]\x08 \x08Challenge: 0 2 1: Client 0 got award 2\n]'
1725503771.595395,2024-09-05 12:36:11.595395,3,1,22,Player_138.25.249.81,Player_138.25.249.38,MOD_TRIGGER_HURT\n]\x08 \x08PlayerScore: 3 5: Player_138.25.249.81 now has 5 points\n]\x08 \x08Challenge: 3 214 1: Client 3 got award 214\n]\x08 \x08Challenge: 3 1 1: Client 3 got award 1\n]\x08 \x08Challenge: 1 2 1: Client 1 got award 2\n]'
1725503791.881310,2024-09-05 12:36:31.881310,1,3,1,Player_138.25.249.38,Player_138.25.249.81,MOD_SHOTGUN\n]\x08 \x08PlayerScore: 1 4: Player_138.25.249.38 now has 4 points\n]\x08 \x08Challenge: 1 203 1: Client 1 got award 203\n]\x08 \x08Challenge: 1 1 1: Client 1 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]'
1725503806.891717,2024-09-05 12:36:46.891717,3,2,1,Player_138.25.249.81,Player_138.25.249.94,MOD_SHOTGUN\n]\x08 \x08PlayerScore: 3 6: Player_138.25.249.81 now has 6 points\n]\x08 \x08Challenge: 3 203 1: Client 3 got award 203\n]\x08 \x08Challenge: 3 1 1: Client 3 got award 1\n]\x08 \x08Challenge: 2 2 1: Client 2 got award 2\n]'
1725503806.925240,2024-09-05 12:36:46.925240,1022,0,22,<world>,Player_138.25.249.93,MOD_TRIGGER_HURT\n]\x08 \x08PlayerScore: 0 3: Player_138.25.249.93 now has 3 points\n]'
1725503826.319989,2024-09-05 12:37:06.319989,1,3,1,Player_138.25.249.38,Player_138.25.249.81,MOD_SHOTGUN\n]\x08 \x08PlayerScore: 1 5: Player_138.25.249.38 now has 5 points\n]\x08 \x08Challenge: 1 203 1: Client 1 got award 203\n]\x08 \x08Challenge: 1 1 1: Client 1 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]\x08 \x08Challenge: 1 401 1: Client 1 got award 401\n]'
1725503827.858376,2024-09-05 12:37:07.858376,2,1,4,Player_138.25.249.94,Player_138.25.249.38,MOD_GRENADE\n]\x08 \x08PlayerScore: 2 2: Player_138.25.249.94 now has 2 points\n]\x08 \x08Challenge: 2 204 1: Client 2 got award 204\n]\x08 \x08Challenge: 2 1 1: Client 2 got award 1\n]\x08 \x08Challenge: 1 2 1: Client 1 got award 2\n]\x08 \x08Challenge: 2 406 1: Client 2 got award 406\n]'
1725503838.853001,2024-09-05 12:37:18.853001,1022,2,22,<world>,Player_138.25.249.94,MOD_TRIGGER_HURT\n]\x08 \x08PlayerScore: 2 1: Player_138.25.249.94 now has 1 points\n]'
1725503844.153103,2024-09-05 12:37:24.153103,1,0,1,Player_138.25.249.38,Player_138.25.249.93,MOD_SHOTGUN\n]\x08 \x08PlayerScore: 1 6: Player_138.25.249.38 now has 6 points\n]\x08 \x08Challenge: 1 203 1: Client 1 got award 203\n]\x08 \x08Challenge: 1 1 1: Client 1 got award 1\n]\x08 \x08Challenge: 0 2 1: Client 0 got award 2\n]\x08 \x08Challenge: 1 406 1: Client 1 got award 406\n]'
1725503844.258361,2024-09-05 12:37:24.258361,0,1,7,Player_138.25.249.93,Player_138.25.249.38,MOD_ROCKET_SPLASH\n]\x08 \x08PlayerScore: 0 4: Player_138.25.249.93 now has 4 points\n]\x08 \x08Challenge: 0 205 1: Client 0 got award 205\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 1 2 1: Client 1 got award 2\n]'
1725503847.741197,2024-09-05 12:37:27.741197,2,3,3,Player_138.25.249.94,Player_138.25.249.81,MOD_MACHINEGUN\n]\x08 \x08PlayerScore: 2 2: Player_138.25.249.94 now has 2 points\n]\x08 \x08Challenge: 2 202 1: Client 2 got award 202\n]\x08 \x08Challenge: 2 1 1: Client 2 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]'
1725503858.988837,2024-09-05 12:37:38.988837,1,3,10,Player_138.25.249.38,Player_138.25.249.81,MOD_RAILGUN\n]\x08 \x08PlayerScore: 1 7: Player_138.25.249.38 now has 7 points\n]\x08 \x08Challenge: 1 208 1: Client 1 got award 208\n]\x08 \x08Challenge: 1 1 1: Client 1 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]\x08 \x08Award: 1 2: Player_138.25.249.38 gained the IMPRESSIVE award!\n]\x08 \x08Challenge: 1 301 1: Client 1 got award 301\n]'
1725503871.608724,2024-09-05 12:37:51.608724,0,1,8,Player_138.25.249.93,Player_138.25.249.38,MOD_PLASMA\n]\x08 \x08PlayerScore: 0 5: Player_138.25.249.93 now has 5 points\n]\x08 \x08Challenge: 0 207 1: Client 0 got award 207\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 1 2 1: Client 1 got award 2\n]'
1725503871.732048,2024-09-05 12:37:51.732048,1022,2,22,<world>,Player_138.25.249.94,MOD_TRIGGER_HURT\n]\x08 \x08PlayerScore: 2 1: Player_138.25.249.94 now has 1 points\n]'
1725503878.524286,2024-09-05 12:37:58.524286,3,0,1,Player_138.25.249.81,Player_138.25.249.93,MOD_SHOTGUN\n]\x08 \x08PlayerScore: 3 7: Player_138.25.249.81 now has 7 points\n]\x08 \x08Challenge: 3 203 1: Client 3 got award 203\n]\x08 \x08Challenge: 3 1 1: Client 3 got award 1\n]\x08 \x08Challenge: 0 2 1: Client 0 got award 2\n]'
1725503889.593183,2024-09-05 12:38:09.593183,1022,2,22,<world>,Player_138.25.249.94,MOD_TRIGGER_HURT\n]\x08 \x08PlayerScore: 2 0: Player_138.25.249.94 now has 0 points\n]'
1725503896.217366,2024-09-05 12:38:16.217366,0,3,3,Player_138.25.249.93,Player_138.25.249.81,MOD_MACHINEGUN\n]\x08 \x08PlayerScore: 0 6: Player_138.25.249.93 now has 6 points\n]\x08 \x08Challenge: 0 202 1: Client 0 got award 202\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]'
1725503901.616886,2024-09-05 12:38:21.616886,2,0,1,Player_138.25.249.94,Player_138.25.249.93,MOD_SHOTGUN\n]\x08 \x08PlayerScore: 2 1: Player_138.25.249.94 now has 1 points\n]\x08 \x08Challenge: 2 203 1: Client 2 got award 203\n]\x08 \x08Challenge: 2 1 1: Client 2 got award 1\n]\x08 \x08Challenge: 0 2 1: Client 0 got award 2\n]'
1725503906.698500,2024-09-05 12:38:26.698500,1022,2,19,<world>,Player_138.25.249.94,MOD_FALLING\n]\x08 \x08PlayerScore: 2 0: Player_138.25.249.94 now has 0 points\n]'
1725503911.071571,2024-09-05 12:38:31.071571,1,3,1,Player_138.25.249.38,Player_138.25.249.81,MOD_SHOTGUN\n]\x08 \x08PlayerScore: 1 8: Player_138.25.249.38 now has 8 points\n]\x08 \x08Challenge: 1 203 1: Client 1 got award 203\n]\x08 \x08Challenge: 1 1 1: Client 1 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]'
1725503945.158386,2024-09-05 12:39:05.158386,3,2,6,Player_138.25.249.81,Player_138.25.249.94,MOD_ROCKET\n]\x08 \x08PlayerScore: 3 1: Player_138.25.249.81 now has 1 points\n]\x08 \x08Challenge: 3 205 1: Client 3 got award 205\n]\x08 \x08Challenge: 3 1 1: Client 3 got award 1\n]\x08 \x08Challenge: 2 2 1: Client 2 got award 2\n]'
1725503948.327557,2024-09-05 12:39:08.327557,1,0,10,Player_138.25.249.38,Player_138.25.249.93,MOD_RAILGUN\n]\x08 \x08PlayerScore: 1 1: Player_138.25.249.38 now has 1 points\n]\x08 \x08Challenge: 1 208 1: Client 1 got award 208\n]\x08 \x08Challenge: 1 1 1: Client 1 got award 1\n]\x08 \x08Challenge: 0 2 1: Client 0 got award 2\n]\x08 \x08Award: 1 2: Player_138.25.249.38 gained the IMPRESSIVE award!\n]\x08 \x08Challenge: 1 301 1: Client 1 got award 301\n]'
1725503960.858410,2024-09-05 12:39:20.858410,3,2,7,Player_138.25.249.81,Player_138.25.249.94,MOD_ROCKET_SPLASH\n]\x08 \x08PlayerScore: 3 2: Player_138.25.249.81 now has 2 points\n]\x08 \x08Challenge: 3 205 1: Client 3 got award 205\n]\x08 \x08Challenge: 3 1 1: Client 3 got award 1\n]\x08 \x08Challenge: 2 2 1: Client 2 got award 2\n]'
1725503962.705599,2024-09-05 12:39:22.705599,0,3,11,Player_138.25.249.93,Player_138.25.249.81,MOD_LIGHTNING\n]\x08 \x08PlayerScore: 0 1: Player_138.25.249.93 now has 1 points\n]\x08 \x08Challenge: 0 206 1: Client 0 got award 206\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]'
1725503970.358386,2024-09-05 12:39:30.358386,2,3,4,Player_138.25.249.94,Player_138.25.249.81,MOD_GRENADE\n]\x08 \x08PlayerScore: 2 1: Player_138.25.249.94 now has 1 points\n]\x08 \x08Challenge: 2 204 1: Client 2 got award 204\n]\x08 \x08Challenge: 2 1 1: Client 2 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]'
1725503978.782207,2024-09-05 12:39:38.782207,0,2,11,Player_138.25.249.93,Player_138.25.249.94,MOD_LIGHTNING\n]\x08 \x08PlayerScore: 0 2: Player_138.25.249.93 now has 2 points\n]\x08 \x08Challenge: 0 206 1: Client 0 got award 206\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 2 2 1: Client 2 got award 2\n]'
1725503982.944215,2024-09-05 12:39:42.944215,0,3,11,Player_138.25.249.93,Player_138.25.249.81,MOD_LIGHTNING\n]\x08 \x08PlayerScore: 0 3: Player_138.25.249.93 now has 3 points\n]\x08 \x08Challenge: 0 206 1: Client 0 got award 206\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 3 2 1: Client 3 got award 2\n]'
1725503986.619262,2024-09-05 12:39:46.619262,0,1,11,Player_138.25.249.93,Player_138.25.249.38,MOD_LIGHTNING\n]\x08 \x08PlayerScore: 0 4: Player_138.25.249.93 now has 4 points\n]\x08 \x08Challenge: 0 206 1: Client 0 got award 206\n]\x08 \x08Challenge: 0 1 1: Client 0 got award 1\n]\x08 \x08Challenge: 1 2 1: Client 1 got award 2\n]'
1725503993.518161,2024-09-05 12:39:53.518161,3,1,1,Player_138.25.249.81,Player_138.25.249.38,MOD_SHOTGUN\n]\x08 \x08PlayerScore: 3 3: Player_138.25.249.81 now has 3 points\n]\x08 \x08Challenge: 3 203 1: Client 3 got award 203\n]\x08 \x08Challenge: 3 1 1: Client 3 got award 1\n]\x08 \x08Challenge: 1 2 1: Client 1 got award 2\n]'
1725503994.683139,2024-09-05 12:39:54.683139,2,0,10,Player_138.25.249.94,Player_138.25.249.93,MOD_RAILGUN\n]\x08 \x08PlayerScore: 2 2: Player_138.25.249.94 now has 2 points\n]\x08 \x08Challenge: 2 208 1: Client 2 got award 208\n]\x08 \x08Challenge: 2 1 1: Client 2 got award 1\n]\x08 \x08Challenge: 0 2 1: Client 0 got award 2\n]'
1725504003.064811,2024-09-05 12:40:03.064811,3,0,1,Player_138.25.249.81,Player_138.25.249.93,MOD_SHOTGUN\n]\x08 \x08PlayerScore: 3 4: Player_138.25.249.81 now has 4 points\n]\x08 \x08Challenge: 3 203 1: Client 3 got award 203\n]\x08 \x08Challenge: 3 1 1: Client 3 got award 1\n]\x08 \x08Challenge: 0 2 1: Client 0 got award 2\n]'
